INPUT:image	OUTPUT:result	CONFIDENCE:result	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-wedding-of-the-bohemian-munch-seated-on-the-far-left-1925.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-lonely-ones-1935.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-haymaker-1916.jpg	neutral	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/alma-mater-1916.jpg	happiness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/christmas-in-the-brothel-1905.jpg	neutral	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-fisherman-1902.jpg	anger	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/melancholy.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/by-the-deathbed-fever-1893.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/women-on-the-bridge.jpg	happiness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/worker-and-child-1908.jpg	fear	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-dead-mother-1900.jpg	anger	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/tavern-in-st-cloud-1890.jpg	happiness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/ashes-1894.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/kiss-1897.jpg	happiness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-sick-child.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-sick-child-1886.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/morning-1884.jpg	neutral	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/girls-on-a-bridge-1900.jpg	happiness	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/horse-team-1919.jpg	neutral	69.74%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/spring-1889.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/snow-falling-in-the-lane-1906.jpg	neutral	93.83%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/street-in-asgardstrand-1902.jpg	anger	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/children-in-the-street-1915.jpg	awe	55.35%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/anxiety-1894.jpg	fear	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/melancholy-1892.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-ladies-on-the-bridge-1903.jpg	neutral	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/meeting-1921.jpg	awe	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-voice-summer-night-1896.jpg	happiness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/model-on-the-couch-1928.jpg	sadness	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/mother-and-daughter-1897.jpg	happiness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/model-in-front-of-the-verandah-1942.jpg	neutral	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-murderer-in-the-lane-1919.jpg	fear	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/four-girls-in-arsgardstrand-1903.jpg	neutral	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/young-woman-on-the-shore-1896.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/red-virginia-creeper-1900.jpg	fear	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/at-the-coffee-table-1883.jpg	neutral	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-storm-1893.jpg	sadness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/high-summer-ii-1915.jpg	happiness	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-murderess-1906.jpg	neutral	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/dance-of-life-1900.jpg	happiness	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/self-portrait-in-the-garden-ekely-1942.jpg	sadness	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/spring-plowing-1916.jpg	awe	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-scream-1893-1.jpg	fear	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-day-after-1895.jpg	anger	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/night-1890.jpg	sadness	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/eye-in-eye-1894.jpg	neutral	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/jurisprudence-1887.jpg	awe	100.00%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/separation-1894.jpg	happiness	99.99%	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/death-in-the-sickroom-1893.jpg	sadness	100.00%	
