INPUT:image	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-lonely-ones-1935.jpg	sadness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075125ab5e6627a16648	0001cbf7b3--61af075125ab5e6627a16648	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-haymaker-1916.jpg	neutral				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075125ab5e6627a16648	0001cbf7b3--61af075125ab5e6627a16648	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/christmas-in-the-brothel-1905.jpg	neutral				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075125ab5e6627a16648	0001cbf7b3--61af075125ab5e6627a16648	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/alma-mater-1916.jpg	happiness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075125ab5e6627a16648	0001cbf7b3--61af075125ab5e6627a16648	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-wedding-of-the-bohemian-munch-seated-on-the-far-left-1925.jpg	neutral				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075125ab5e6627a16648	0001cbf7b3--61af075125ab5e6627a16648	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-lonely-ones-1935.jpg	sadness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af07561ede177829930b40	0001cbf7b3--61af07561ede177829930b40	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/christmas-in-the-brothel-1905.jpg	neutral				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af07561ede177829930b40	0001cbf7b3--61af07561ede177829930b40	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-haymaker-1916.jpg	happiness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af07561ede177829930b40	0001cbf7b3--61af07561ede177829930b40	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/alma-mater-1916.jpg	happiness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af07561ede177829930b40	0001cbf7b3--61af07561ede177829930b40	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-wedding-of-the-bohemian-munch-seated-on-the-far-left-1925.jpg	sadness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af07561ede177829930b40	0001cbf7b3--61af07561ede177829930b40	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-fisherman-1902.jpg	anger				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075a889fb241714cbc66	0001cbf7b3--61af075a889fb241714cbc66	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/melancholy.jpg	sadness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075a889fb241714cbc66	0001cbf7b3--61af075a889fb241714cbc66	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/by-the-deathbed-fever-1893.jpg	sadness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075a889fb241714cbc66	0001cbf7b3--61af075a889fb241714cbc66	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/women-on-the-bridge.jpg	happiness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075a889fb241714cbc66	0001cbf7b3--61af075a889fb241714cbc66	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/worker-and-child-1908.jpg	fear				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075a889fb241714cbc66	0001cbf7b3--61af075a889fb241714cbc66	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-haymaker-1916.jpg	neutral				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075d19bf98074e12d512	0001cbf7b3--61af075d19bf98074e12d512	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/alma-mater-1916.jpg	happiness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075d19bf98074e12d512	0001cbf7b3--61af075d19bf98074e12d512	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-wedding-of-the-bohemian-munch-seated-on-the-far-left-1925.jpg	sadness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075d19bf98074e12d512	0001cbf7b3--61af075d19bf98074e12d512	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-lonely-ones-1935.jpg	neutral				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075d19bf98074e12d512	0001cbf7b3--61af075d19bf98074e12d512	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/christmas-in-the-brothel-1905.jpg	neutral				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af075d19bf98074e12d512	0001cbf7b3--61af075d19bf98074e12d512	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-fisherman-1902.jpg	fear				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af0761ad9d9c12b4805d7b	0001cbf7b3--61af0761ad9d9c12b4805d7b	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/melancholy.jpg	sadness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af0761ad9d9c12b4805d7b	0001cbf7b3--61af0761ad9d9c12b4805d7b	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/by-the-deathbed-fever-1893.jpg	sadness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af0761ad9d9c12b4805d7b	0001cbf7b3--61af0761ad9d9c12b4805d7b	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/worker-and-child-1908.jpg	happiness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af0761ad9d9c12b4805d7b	0001cbf7b3--61af0761ad9d9c12b4805d7b	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/women-on-the-bridge.jpg	neutral				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af0761ad9d9c12b4805d7b	0001cbf7b3--61af0761ad9d9c12b4805d7b	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-haymaker-1916.jpg	neutral				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af0768a5a19325b684dedf	0001cbf7b3--61af0768a5a19325b684dedf	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-wedding-of-the-bohemian-munch-seated-on-the-far-left-1925.jpg	sadness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af0768a5a19325b684dedf	0001cbf7b3--61af0768a5a19325b684dedf	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/christmas-in-the-brothel-1905.jpg	neutral				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af0768a5a19325b684dedf	0001cbf7b3--61af0768a5a19325b684dedf	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/alma-mater-1916.jpg	awe				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af0768a5a19325b684dedf	0001cbf7b3--61af0768a5a19325b684dedf	+	
https://raw.githubusercontent.com/wangfanli12/Edvard_Munch/main/Edvard_Munch/the-lonely-ones-1935.jpg	sadness				https://toloka.yandex.ru/task/30144435/0001cbf7b3--61af0768a5a19325b684dedf	0001cbf7b3--61af0768a5a19325b684dedf	+	
